d: 20
lambda: 0.001
gamma: 0.8
rho: 1.0
fnTrainingData: ../ML1M/generality/copy4.train
fnTestData: ../ML1M/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
start_hybrid_averaging_iterations: 10
local_train_iterations: 15
Iter:0| MAE:2.5821278| RMSE:2.813787
Iter:1| MAE:2.5821278| RMSE:2.813787
Iter:2| MAE:2.5821278| RMSE:2.813787
Iter:3| MAE:2.5821278| RMSE:2.813787
Iter:4| MAE:2.5821278| RMSE:2.813787
Iter:5| MAE:2.5821278| RMSE:2.813787
Iter:6| MAE:2.5821278| RMSE:2.813787
Iter:7| MAE:2.5821278| RMSE:2.813787
Iter:8| MAE:2.094283| RMSE:2.299577
Iter:9| MAE:0.95270765| RMSE:1.2464516
Iter:10| MAE:1.3661057| RMSE:1.5667319
Iter:11| MAE:0.8983467| RMSE:1.1757019
Iter:12| MAE:0.98937607| RMSE:1.1704495
Iter:13| MAE:0.7460864| RMSE:0.9690626
Iter:14| MAE:0.7525434| RMSE:0.93375194
Iter:15| MAE:0.72485465| RMSE:0.9199886
Iter:16| MAE:0.72696203| RMSE:0.9176699
Iter:17| MAE:0.7254287| RMSE:0.91672146
Iter:18| MAE:0.72487193| RMSE:0.9160921
Iter:19| MAE:0.7244238| RMSE:0.91563416
Iter:20| MAE:0.7240952| RMSE:0.9152907
Iter:21| MAE:0.7238435| RMSE:0.91502756
Iter:22| MAE:0.72364366| RMSE:0.91482264
Iter:23| MAE:0.72347844| RMSE:0.9146525
Iter:24| MAE:0.7233492| RMSE:0.9145164
Iter:25| MAE:0.7232403| RMSE:0.9144075
Iter:26| MAE:0.7231457| RMSE:0.91431653
Iter:27| MAE:0.7230738| RMSE:0.9142374
Iter:28| MAE:0.7230044| RMSE:0.9141744
Iter:29| MAE:0.7229506| RMSE:0.91411924
Iter:30| MAE:0.72290653| RMSE:0.91407555
Iter:31| MAE:0.722867| RMSE:0.9140359
Iter:32| MAE:0.7228287| RMSE:0.9140028
Iter:33| MAE:0.7227973| RMSE:0.91396797
Iter:34| MAE:0.72276884| RMSE:0.913941
Iter:35| MAE:0.7227571| RMSE:0.91391987
Iter:36| MAE:0.72273415| RMSE:0.91389704
Iter:37| MAE:0.72271454| RMSE:0.9138799
Iter:38| MAE:0.72269857| RMSE:0.91386515
Iter:39| MAE:0.72268045| RMSE:0.91385025
Iter:40| MAE:0.72266793| RMSE:0.9138392
Iter:41| MAE:0.7226568| RMSE:0.91382885
Iter:42| MAE:0.7226443| RMSE:0.9138204
Iter:43| MAE:0.72263426| RMSE:0.9138084
Iter:44| MAE:0.7226267| RMSE:0.91380113
Iter:45| MAE:0.7226214| RMSE:0.913794
Iter:46| MAE:0.7226146| RMSE:0.9137868
Iter:47| MAE:0.7226101| RMSE:0.913782
Iter:48| MAE:0.722605| RMSE:0.9137784
Iter:49| MAE:0.7226036| RMSE:0.9137747
Iter:50| MAE:0.7225981| RMSE:0.9137711
Iter:51| MAE:0.722594| RMSE:0.91376644
Iter:52| MAE:0.72258914| RMSE:0.91376185
Iter:53| MAE:0.7225881| RMSE:0.91376
Iter:54| MAE:0.7225872| RMSE:0.91375697
Iter:55| MAE:0.72258395| RMSE:0.913755
Iter:56| MAE:0.72258246| RMSE:0.9137529
Iter:57| MAE:0.72258097| RMSE:0.91375136
Iter:58| MAE:0.7225792| RMSE:0.9137498
Iter:59| MAE:0.7225771| RMSE:0.9137484
Iter:60| MAE:0.72257733| RMSE:0.91374755
Iter:61| MAE:0.72257537| RMSE:0.9137469
Iter:62| MAE:0.72257435| RMSE:0.91374606
Iter:63| MAE:0.72257334| RMSE:0.9137448
Iter:64| MAE:0.7225727| RMSE:0.91374373
Iter:65| MAE:0.72257054| RMSE:0.9137431
Iter:66| MAE:0.722569| RMSE:0.91374254
Iter:67| MAE:0.7225684| RMSE:0.9137422
Iter:68| MAE:0.7225681| RMSE:0.91374147
Iter:69| MAE:0.722567| RMSE:0.9137407
Iter:70| MAE:0.7225666| RMSE:0.91374034
Iter:71| MAE:0.7225656| RMSE:0.91373974
Iter:72| MAE:0.7225647| RMSE:0.91373974
Iter:73| MAE:0.722565| RMSE:0.9137389
Iter:74| MAE:0.7225645| RMSE:0.91373825
Iter:75| MAE:0.72256386| RMSE:0.91373855
Iter:76| MAE:0.7225636| RMSE:0.91373855
Iter:77| MAE:0.7225632| RMSE:0.9137384
Iter:78| MAE:0.7225631| RMSE:0.9137382
Iter:79| MAE:0.722563| RMSE:0.91373783
Iter:80| MAE:0.722563| RMSE:0.91373783
Iter:81| MAE:0.72256327| RMSE:0.9137381
Iter:82| MAE:0.72256345| RMSE:0.9137378
Iter:83| MAE:0.7225632| RMSE:0.91373765
Iter:84| MAE:0.7225632| RMSE:0.91373765
Iter:85| MAE:0.7225633| RMSE:0.91373754
Iter:86| MAE:0.72256356| RMSE:0.91373754
Iter:87| MAE:0.72256327| RMSE:0.91373736
