d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_1_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:1| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:2| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:3| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:4| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:5| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:6| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:7| NaN num = 0
MAE:2.4798298| RMSE:2.714797
Iter:8| NaN num = 0
MAE:0.82889014| RMSE:1.0615971
Iter:9| NaN num = 0
MAE:0.8394985| RMSE:1.0414829
Iter:10| NaN num = 0
MAE:0.773714| RMSE:1.0018172
Iter:11| NaN num = 0
MAE:0.80882865| RMSE:0.9999591
Iter:12| NaN num = 0
MAE:0.7534502| RMSE:0.97473866
Iter:13| NaN num = 0
MAE:0.76899743| RMSE:0.9650562
Iter:14| NaN num = 0
MAE:0.7485999| RMSE:0.95781106
Iter:15| NaN num = 0
MAE:0.753061| RMSE:0.95628965
Iter:16| NaN num = 0
MAE:0.75103956| RMSE:0.95594865
Iter:17| NaN num = 0
MAE:0.7512239| RMSE:0.95582384
Iter:18| NaN num = 0
MAE:0.7511085| RMSE:0.9557109
Iter:19| NaN num = 0
MAE:0.75102097| RMSE:0.95560634
Iter:20| NaN num = 0
MAE:0.75094163| RMSE:0.95551205
Iter:21| NaN num = 0
MAE:0.75086784| RMSE:0.9554229
Iter:22| NaN num = 0
MAE:0.7507988| RMSE:0.9553429
Iter:23| NaN num = 0
MAE:0.75073755| RMSE:0.95526886
Iter:24| NaN num = 0
MAE:0.7506781| RMSE:0.9552012
Iter:25| NaN num = 0
MAE:0.75062865| RMSE:0.95514
Iter:26| NaN num = 0
MAE:0.75057995| RMSE:0.9550819
Iter:27| NaN num = 0
MAE:0.750534| RMSE:0.9550295
Iter:28| NaN num = 0
MAE:0.7504884| RMSE:0.95497924
Iter:29| NaN num = 0
MAE:0.75045544| RMSE:0.9549352
Iter:30| NaN num = 0
MAE:0.7504215| RMSE:0.9548966
Iter:31| NaN num = 0
MAE:0.750395| RMSE:0.9548601
Iter:32| NaN num = 0
MAE:0.750368| RMSE:0.95482844
Iter:33| NaN num = 0
MAE:0.75034076| RMSE:0.9547974
Iter:34| NaN num = 0
MAE:0.7503183| RMSE:0.9547705
Iter:35| NaN num = 0
MAE:0.7502975| RMSE:0.9547449
Iter:36| NaN num = 0
MAE:0.7502816| RMSE:0.95472145
Iter:37| NaN num = 0
MAE:0.75026506| RMSE:0.9547016
Iter:38| NaN num = 0
MAE:0.75025| RMSE:0.95468384
Iter:39| NaN num = 0
MAE:0.75023603| RMSE:0.95466673
Iter:40| NaN num = 0
MAE:0.7502239| RMSE:0.9546528
Iter:41| NaN num = 0
MAE:0.75021136| RMSE:0.95463973
Iter:42| NaN num = 0
MAE:0.7502| RMSE:0.9546276
Iter:43| NaN num = 0
MAE:0.75019217| RMSE:0.9546157
Iter:44| NaN num = 0
MAE:0.75018305| RMSE:0.95460516
Iter:45| NaN num = 0
MAE:0.7501758| RMSE:0.95459604
Iter:46| NaN num = 0
MAE:0.7501693| RMSE:0.95458806
Iter:47| NaN num = 0
MAE:0.7501633| RMSE:0.9545808
Iter:48| NaN num = 0
MAE:0.7501583| RMSE:0.95457363
Iter:49| NaN num = 0
MAE:0.750152| RMSE:0.9545674
Iter:50| NaN num = 0
MAE:0.7501464| RMSE:0.9545627
Iter:51| NaN num = 0
MAE:0.75014234| RMSE:0.95455784
Iter:52| NaN num = 0
MAE:0.750139| RMSE:0.95455295
Iter:53| NaN num = 0
MAE:0.75013554| RMSE:0.95454836
Iter:54| NaN num = 0
MAE:0.7501317| RMSE:0.95454514
Iter:55| NaN num = 0
MAE:0.75012916| RMSE:0.9545426
Iter:56| NaN num = 0
MAE:0.7501263| RMSE:0.9545399
Iter:57| NaN num = 0
MAE:0.75012493| RMSE:0.9545375
Iter:58| NaN num = 0
MAE:0.7501232| RMSE:0.95453525
Iter:59| NaN num = 0
MAE:0.7501217| RMSE:0.9545337
Iter:60| NaN num = 0
MAE:0.75012076| RMSE:0.9545315
Iter:61| NaN num = 0
MAE:0.75011957| RMSE:0.95453
Iter:62| NaN num = 0
MAE:0.75011855| RMSE:0.9545285
Iter:63| NaN num = 0
MAE:0.75011736| RMSE:0.954527
Iter:64| NaN num = 0
MAE:0.7501163| RMSE:0.9545253
Iter:65| NaN num = 0
MAE:0.75011516| RMSE:0.9545241
Iter:66| NaN num = 0
MAE:0.75011426| RMSE:0.9545231
Iter:67| NaN num = 0
MAE:0.750113| RMSE:0.95452225
Iter:68| NaN num = 0
MAE:0.7501124| RMSE:0.9545213
Iter:69| NaN num = 0
MAE:0.750112| RMSE:0.9545209
Iter:70| NaN num = 0
MAE:0.7501116| RMSE:0.9545201
Iter:71| NaN num = 0
MAE:0.7501117| RMSE:0.9545195
Iter:72| NaN num = 0
MAE:0.7501112| RMSE:0.954519
Iter:73| NaN num = 0
MAE:0.75011086| RMSE:0.95451826
Iter:74| NaN num = 0
MAE:0.7501106| RMSE:0.95451826
Iter:75| NaN num = 0
MAE:0.7501105| RMSE:0.95451784
Iter:76| NaN num = 0
MAE:0.75011015| RMSE:0.9545175
Iter:77| NaN num = 0
MAE:0.7501098| RMSE:0.95451754
Iter:78| NaN num = 0
MAE:0.7501098| RMSE:0.9545174
Iter:79| NaN num = 0
MAE:0.7501093| RMSE:0.9545171
Iter:80| NaN num = 0
MAE:0.750109| RMSE:0.9545168
Iter:81| NaN num = 0
MAE:0.7501089| RMSE:0.95451653
Iter:82| NaN num = 0
MAE:0.75010836| RMSE:0.9545163
Iter:83| NaN num = 0
MAE:0.7501083| RMSE:0.9545161
Iter:84| NaN num = 0
MAE:0.7501081| RMSE:0.954516
Iter:85| NaN num = 0
MAE:0.750108| RMSE:0.95451593
Iter:86| NaN num = 0
MAE:0.75010806| RMSE:0.95451564
Iter:87| NaN num = 0
MAE:0.7501081| RMSE:0.9545155
Iter:88| NaN num = 0
MAE:0.7501079| RMSE:0.95451546
Iter:89| NaN num = 0
MAE:0.75010765| RMSE:0.95451546
Iter:90| NaN num = 0
MAE:0.7501073| RMSE:0.95451546
Iter:91| NaN num = 0
MAE:0.75010735| RMSE:0.9545153
Iter:92| NaN num = 0
MAE:0.75010717| RMSE:0.95451534
Iter:93| NaN num = 0
MAE:0.7501073| RMSE:0.95451534
Iter:94| NaN num = 0
MAE:0.7501072| RMSE:0.95451534
Iter:95| NaN num = 0
MAE:0.7501075| RMSE:0.95451516
Iter:96| NaN num = 0
MAE:0.7501074| RMSE:0.95451516
Iter:97| NaN num = 0
MAE:0.75010735| RMSE:0.9545153
Iter:98| NaN num = 0
MAE:0.75010735| RMSE:0.9545152
Iter:99| NaN num = 0
MAE:0.7501074| RMSE:0.95451516
NaN num = 0
MAE:0.75010747| RMSE:0.954515
