d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_2_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:1| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:2| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:3| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:4| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:5| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:6| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:7| NaN num = 0
MAE:2.5796146| RMSE:2.8101885
Iter:8| NaN num = 0
MAE:0.9926474| RMSE:1.2043855
Iter:9| NaN num = 0
MAE:0.8711774| RMSE:1.13812
Iter:10| NaN num = 0
MAE:1.1713393| RMSE:1.3608505
Iter:11| NaN num = 0
MAE:0.8278731| RMSE:1.0927311
Iter:12| NaN num = 0
MAE:0.96669185| RMSE:1.147812
Iter:13| NaN num = 0
MAE:0.73190683| RMSE:0.9542662
Iter:14| NaN num = 0
MAE:0.7497467| RMSE:0.9294609
Iter:15| NaN num = 0
MAE:0.7157679| RMSE:0.9108772
Iter:16| NaN num = 0
MAE:0.7205776| RMSE:0.9101915
Iter:17| NaN num = 0
MAE:0.71926194| RMSE:0.9099073
Iter:18| NaN num = 0
MAE:0.7193276| RMSE:0.9098922
Iter:19| NaN num = 0
MAE:0.7193106| RMSE:0.9098686
Iter:20| NaN num = 0
MAE:0.7192929| RMSE:0.90984607
Iter:21| NaN num = 0
MAE:0.71927726| RMSE:0.90982026
Iter:22| NaN num = 0
MAE:0.7192626| RMSE:0.9098007
Iter:23| NaN num = 0
MAE:0.7192492| RMSE:0.9097837
Iter:24| NaN num = 0
MAE:0.71923625| RMSE:0.90976655
Iter:25| NaN num = 0
MAE:0.71922445| RMSE:0.9097512
Iter:26| NaN num = 0
MAE:0.719214| RMSE:0.90973806
Iter:27| NaN num = 0
MAE:0.7192037| RMSE:0.9097253
Iter:28| NaN num = 0
MAE:0.7191938| RMSE:0.9097141
Iter:29| NaN num = 0
MAE:0.71918505| RMSE:0.90970385
Iter:30| NaN num = 0
MAE:0.71917796| RMSE:0.90969497
Iter:31| NaN num = 0
MAE:0.71917164| RMSE:0.909687
Iter:32| NaN num = 0
MAE:0.7191664| RMSE:0.9096788
Iter:33| NaN num = 0
MAE:0.7191609| RMSE:0.9096721
Iter:34| NaN num = 0
MAE:0.7191549| RMSE:0.9096659
Iter:35| NaN num = 0
MAE:0.71915156| RMSE:0.90966034
Iter:36| NaN num = 0
MAE:0.7191478| RMSE:0.9096545
Iter:37| NaN num = 0
MAE:0.7191445| RMSE:0.90964997
Iter:38| NaN num = 0
MAE:0.7191414| RMSE:0.9096457
Iter:39| NaN num = 0
MAE:0.7191388| RMSE:0.9096414
Iter:40| NaN num = 0
MAE:0.7191373| RMSE:0.9096372
Iter:41| NaN num = 0
MAE:0.71913505| RMSE:0.90963423
Iter:42| NaN num = 0
MAE:0.7191327| RMSE:0.90963143
Iter:43| NaN num = 0
MAE:0.71913046| RMSE:0.9096292
Iter:44| NaN num = 0
MAE:0.7191284| RMSE:0.9096273
Iter:45| NaN num = 0
MAE:0.71912664| RMSE:0.90962493
Iter:46| NaN num = 0
MAE:0.7191254| RMSE:0.90962285
Iter:47| NaN num = 0
MAE:0.71912414| RMSE:0.90962106
Iter:48| NaN num = 0
MAE:0.7191228| RMSE:0.90961957
Iter:49| NaN num = 0
MAE:0.7191222| RMSE:0.9096183
Iter:50| NaN num = 0
MAE:0.71912056| RMSE:0.90961707
Iter:51| NaN num = 0
