d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 1.0
num_iterations: 100
Iter:0| MAE:2.581193| RMSE:2.8127556
Iter:1| MAE:1.5059412| RMSE:1.9360088
Iter:2| MAE:1.0459461| RMSE:1.4198437
Iter:3| MAE:0.86040586| RMSE:1.1529098
Iter:4| MAE:0.7996901| RMSE:1.0469033
Iter:5| MAE:0.76902634| RMSE:0.99152213
Iter:6| MAE:0.75166994| RMSE:0.9580971
Iter:7| MAE:0.7441535| RMSE:0.9470997
Iter:8| MAE:0.7392613| RMSE:0.94104356
Iter:9| MAE:0.73511446| RMSE:0.9354727
Iter:10| MAE:0.7315653| RMSE:0.9316296
Iter:11| MAE:0.72896194| RMSE:0.92802745
Iter:12| MAE:0.72662216| RMSE:0.925485
Iter:13| MAE:0.7249208| RMSE:0.92352605
Iter:14| MAE:0.723098| RMSE:0.9212561
Iter:15| MAE:0.72188246| RMSE:0.9201777
Iter:16| MAE:0.72067875| RMSE:0.9180908
Iter:17| MAE:0.7192057| RMSE:0.9163539
Iter:18| MAE:0.7183585| RMSE:0.9152478
Iter:19| MAE:0.717565| RMSE:0.9144063
Iter:20| MAE:0.7167342| RMSE:0.9130503
Iter:21| MAE:0.71599245| RMSE:0.9120407
Iter:22| MAE:0.71502477| RMSE:0.91099423
Iter:23| MAE:0.7145729| RMSE:0.91031605
Iter:24| MAE:0.7138222| RMSE:0.9092838
Iter:25| MAE:0.71328044| RMSE:0.9082146
Iter:26| MAE:0.7126064| RMSE:0.90747917
Iter:27| MAE:0.71218574| RMSE:0.9069779
Iter:28| MAE:0.7120319| RMSE:0.9065323
Iter:29| MAE:0.7117008| RMSE:0.90625596
Iter:30| MAE:0.7112795| RMSE:0.9056327
Iter:31| MAE:0.711024| RMSE:0.9052061
Iter:32| MAE:0.7109271| RMSE:0.9049519
Iter:33| MAE:0.71062654| RMSE:0.9046391
Iter:34| MAE:0.7104194| RMSE:0.9042889
Iter:35| MAE:0.71033734| RMSE:0.90403646
Iter:36| MAE:0.710038| RMSE:0.90371794
Iter:37| MAE:0.70990384| RMSE:0.90349823
Iter:38| MAE:0.709786| RMSE:0.9032922
Iter:39| MAE:0.70967084| RMSE:0.9031222
Iter:40| MAE:0.7096418| RMSE:0.902991
Iter:41| MAE:0.709477| RMSE:0.90281904
Iter:42| MAE:0.7093962| RMSE:0.90270513
Iter:43| MAE:0.70927143| RMSE:0.90257615
Iter:44| MAE:0.70925075| RMSE:0.90246636
Iter:45| MAE:0.7091712| RMSE:0.90235144
Iter:46| MAE:0.70910305| RMSE:0.9022561
Iter:47| MAE:0.7090708| RMSE:0.9021976
Iter:48| MAE:0.70905274| RMSE:0.9021347
Iter:49| MAE:0.70906466| RMSE:0.9021019
Iter:50| MAE:0.70899105| RMSE:0.902015
Iter:51| MAE:0.70896477| RMSE:0.90197176
Iter:52| MAE:0.7089353| RMSE:0.90193796
Iter:53| MAE:0.70890355| RMSE:0.90188116
Iter:54| MAE:0.708892| RMSE:0.9018458
Iter:55| MAE:0.70887214| RMSE:0.9018194
Iter:56| MAE:0.7088394| RMSE:0.9017767
Iter:57| MAE:0.70881087| RMSE:0.90173763
Iter:58| MAE:0.70879644| RMSE:0.9017108
Iter:59| MAE:0.708768| RMSE:0.9016754
Iter:60| MAE:0.70876145| RMSE:0.9016521
Iter:61| MAE:0.7087413| RMSE:0.9016394
Iter:62| MAE:0.7087219| RMSE:0.9016218
Iter:63| MAE:0.7087176| RMSE:0.9016138
Iter:64| MAE:0.7087085| RMSE:0.9016037
Iter:65| MAE:0.7086924| RMSE:0.90159
Iter:66| MAE:0.7086751| RMSE:0.90157396
Iter:67| MAE:0.7086739| RMSE:0.90156484
Iter:68| MAE:0.7086629| RMSE:0.90155697
Iter:69| MAE:0.70866054| RMSE:0.9015476
Iter:70| MAE:0.70865345| RMSE:0.9015364
Iter:71| MAE:0.70865136| RMSE:0.9015327
Iter:72| MAE:0.7086559| RMSE:0.9015307
Iter:73| MAE:0.7086542| RMSE:0.901524
Iter:74| MAE:0.70865816| RMSE:0.9015204
Iter:75| MAE:0.708652| RMSE:0.9015179
Iter:76| MAE:0.70864564| RMSE:0.9015137
Iter:77| MAE:0.70864516| RMSE:0.9015038
Iter:78| MAE:0.7086411| RMSE:0.90150046
Iter:79| MAE:0.7086392| RMSE:0.90149766
Iter:80| MAE:0.7086366| RMSE:0.90149456
Iter:81| MAE:0.70863676| RMSE:0.9014926
Iter:82| MAE:0.70863855| RMSE:0.90149176
Iter:83| MAE:0.70863664| RMSE:0.90149146
Iter:84| MAE:0.70864016| RMSE:0.90148926
Iter:85| MAE:0.7086391| RMSE:0.90148693
Iter:86| MAE:0.7086406| RMSE:0.9014861
Iter:87| MAE:0.7086376| RMSE:0.90148306
Iter:88| MAE:0.7086382| RMSE:0.90148383
Iter:89| MAE:0.7086379| RMSE:0.9014812
Iter:90| MAE:0.70863736| RMSE:0.9014802
Iter:91| MAE:0.70863664| RMSE:0.9014793
Iter:92| MAE:0.7086365| RMSE:0.9014779
Iter:93| MAE:0.7086373| RMSE:0.9014779
Iter:94| MAE:0.7086366| RMSE:0.9014757
Iter:95| MAE:0.70863575| RMSE:0.9014759
Iter:96| MAE:0.7086348| RMSE:0.90147644
Iter:97| MAE:0.7086351| RMSE:0.9014749
Iter:98| MAE:0.70863366| RMSE:0.90147424
Iter:99| MAE:0.70863426| RMSE:0.90147334
MAE:0.7086323| RMSE:0.9014717
