d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_2_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 2.0
num_iterations: 100
Iter:0| MAE:2.5237| RMSE:2.7655017
Iter:1| MAE:1.6438766| RMSE:2.0569646
Iter:2| MAE:1.0850493| RMSE:1.4600629
Iter:3| MAE:0.9296318| RMSE:1.2360677
Iter:4| MAE:0.8139619| RMSE:1.0404376
Iter:5| MAE:0.79682267| RMSE:1.0116451
Iter:6| MAE:0.78762805| RMSE:1.0000973
Iter:7| MAE:0.7862193| RMSE:0.9982541
Iter:8| MAE:0.7858189| RMSE:0.9969161
Iter:9| MAE:0.7871699| RMSE:0.99901974
Iter:10| MAE:0.78556687| RMSE:0.9966558
Iter:11| MAE:0.78693765| RMSE:0.99764925
Iter:12| MAE:0.78461164| RMSE:0.9957172
Iter:13| MAE:0.7866271| RMSE:0.9968549
Iter:14| MAE:0.7848885| RMSE:0.99483764
Iter:15| MAE:0.786278| RMSE:0.996091
Iter:16| MAE:0.78649217| RMSE:0.9958232
Iter:17| MAE:0.786511| RMSE:0.9961374
Iter:18| MAE:0.78565586| RMSE:0.99560237
Iter:19| MAE:0.78464156| RMSE:0.9946305
Iter:20| MAE:0.78389484| RMSE:0.9940847
Iter:21| MAE:0.7844653| RMSE:0.9939582
Iter:22| MAE:0.785172| RMSE:0.9944395
Iter:23| MAE:0.7856641| RMSE:0.99471945
Iter:24| MAE:0.7868383| RMSE:0.9954938
Iter:25| MAE:0.7853002| RMSE:0.99428254
Iter:26| MAE:0.7843589| RMSE:0.993325
Iter:27| MAE:0.7842434| RMSE:0.9931503
Iter:28| MAE:0.7843136| RMSE:0.99329036
Iter:29| MAE:0.7840314| RMSE:0.99299556
Iter:30| MAE:0.78418845| RMSE:0.9928029
Iter:31| MAE:0.7845471| RMSE:0.99310005
Iter:32| MAE:0.7850478| RMSE:0.99347365
Iter:33| MAE:0.7851564| RMSE:0.993413
Iter:34| MAE:0.7848071| RMSE:0.99320096
Iter:35| MAE:0.7849175| RMSE:0.9932015
Iter:36| MAE:0.7842201| RMSE:0.99261713
Iter:37| MAE:0.7843321| RMSE:0.9928271
Iter:38| MAE:0.7844246| RMSE:0.99280906
Iter:39| MAE:0.784266| RMSE:0.9926423
Iter:40| MAE:0.78420925| RMSE:0.992519
Iter:41| MAE:0.7842651| RMSE:0.9925584
Iter:42| MAE:0.7841937| RMSE:0.9925171
Iter:43| MAE:0.7840962| RMSE:0.9924117
Iter:44| MAE:0.7842038| RMSE:0.99242073
Iter:45| MAE:0.78415704| RMSE:0.99242705
Iter:46| MAE:0.784036| RMSE:0.99236375
Iter:47| MAE:0.7838814| RMSE:0.99223644
Iter:48| MAE:0.7838443| RMSE:0.99215657
Iter:49| MAE:0.7837801| RMSE:0.9921381
Iter:50| MAE:0.7838474| RMSE:0.9921844
Iter:51| MAE:0.78383034| RMSE:0.9921469
Iter:52| MAE:0.7838167| RMSE:0.99213445
Iter:53| MAE:0.7838273| RMSE:0.9921337
Iter:54| MAE:0.7838905| RMSE:0.99216837
Iter:55| MAE:0.78389406| RMSE:0.9921804
