d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy3.train
fnTestData: ../ML100K/generality/copy3.test
fnOutputData: ./testResult/FSVD_0.001_0_100K_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.53265| RMSE:2.7731118
Iter:1| MAE:0.93897295| RMSE:1.1825911
Iter:2| MAE:0.8533705| RMSE:1.087881
Iter:3| MAE:0.825684| RMSE:1.0561492
Iter:4| MAE:0.7871354| RMSE:1.0116471
Iter:5| MAE:0.7713058| RMSE:0.9849475
Iter:6| MAE:0.7616024| RMSE:0.97442967
Iter:7| MAE:0.76003104| RMSE:0.9683117
Iter:8| MAE:0.7516908| RMSE:0.9577597
Iter:9| MAE:0.7453967| RMSE:0.9499988
Iter:10| MAE:0.7432843| RMSE:0.9484671
Iter:11| MAE:0.7387251| RMSE:0.94437104
Iter:12| MAE:0.7377898| RMSE:0.9410787
Iter:13| MAE:0.7368415| RMSE:0.93940943
Iter:14| MAE:0.73726684| RMSE:0.93956214
Iter:15| MAE:0.7347047| RMSE:0.9368153
Iter:16| MAE:0.7338355| RMSE:0.9352104
Iter:17| MAE:0.73231435| RMSE:0.9343764
Iter:18| MAE:0.73107034| RMSE:0.9324379
Iter:19| MAE:0.72932744| RMSE:0.93032414
Iter:20| MAE:0.72905| RMSE:0.93031216
Iter:21| MAE:0.72857964| RMSE:0.9302391
Iter:22| MAE:0.72891176| RMSE:0.92999023
Iter:23| MAE:0.72703564| RMSE:0.92911184
Iter:24| MAE:0.7272323| RMSE:0.92855173
Iter:25| MAE:0.727079| RMSE:0.9283766
Iter:26| MAE:0.727027| RMSE:0.9276776
Iter:27| MAE:0.72627854| RMSE:0.926982
Iter:28| MAE:0.7259815| RMSE:0.92702574
Iter:29| MAE:0.72590595| RMSE:0.9268552
Iter:30| MAE:0.72587425| RMSE:0.92627895
Iter:31| MAE:0.7253935| RMSE:0.9260368
Iter:32| MAE:0.72522306| RMSE:0.92611885
Iter:33| MAE:0.72535425| RMSE:0.9259463
Iter:34| MAE:0.7252866| RMSE:0.9261203
Iter:35| MAE:0.7247989| RMSE:0.92584777
Iter:36| MAE:0.7249479| RMSE:0.9257934
Iter:37| MAE:0.7247829| RMSE:0.9255728
Iter:38| MAE:0.7248072| RMSE:0.9255441
Iter:39| MAE:0.7249007| RMSE:0.9255849
Iter:40| MAE:0.72464687| RMSE:0.92544293
Iter:41| MAE:0.7245034| RMSE:0.92523956
Iter:42| MAE:0.72453004| RMSE:0.9252096
Iter:43| MAE:0.72412956| RMSE:0.92501825
Iter:44| MAE:0.7243629| RMSE:0.9250653
Iter:45| MAE:0.7241986| RMSE:0.9249294
Iter:46| MAE:0.7241791| RMSE:0.92497647
Iter:47| MAE:0.72417575| RMSE:0.92490715
Iter:48| MAE:0.72421145| RMSE:0.9249379
Iter:49| MAE:0.72415197| RMSE:0.924856
Iter:50| MAE:0.7241699| RMSE:0.9247319
Iter:51| MAE:0.7240119| RMSE:0.92470855
