d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FSVD_0.001_0_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.581193| RMSE:2.8127556
Iter:1| MAE:0.8871469| RMSE:1.141077
Iter:2| MAE:0.80856496| RMSE:1.0500252
Iter:3| MAE:0.74911153| RMSE:0.95599663
Iter:4| MAE:0.72448677| RMSE:0.9234343
Iter:5| MAE:0.7122715| RMSE:0.90451705
Iter:6| MAE:0.7047486| RMSE:0.89407206
Iter:7| MAE:0.69570667| RMSE:0.88568324
Iter:8| MAE:0.69096935| RMSE:0.8798487
Iter:9| MAE:0.6858091| RMSE:0.8753627
Iter:10| MAE:0.6813747| RMSE:0.8721324
Iter:11| MAE:0.67948174| RMSE:0.8681947
Iter:12| MAE:0.6762317| RMSE:0.86579806
Iter:13| MAE:0.674825| RMSE:0.86323196
Iter:14| MAE:0.67211455| RMSE:0.86129814
Iter:15| MAE:0.67202604| RMSE:0.8598991
Iter:16| MAE:0.66988534| RMSE:0.8584778
Iter:17| MAE:0.6690225| RMSE:0.8569166
Iter:18| MAE:0.6677052| RMSE:0.8562743
Iter:19| MAE:0.66738874| RMSE:0.85537183
Iter:20| MAE:0.6671336| RMSE:0.8544729
Iter:21| MAE:0.6660752| RMSE:0.85377514
Iter:22| MAE:0.66526586| RMSE:0.85309905
Iter:23| MAE:0.6650717| RMSE:0.85250056
Iter:24| MAE:0.66440463| RMSE:0.8520926
Iter:25| MAE:0.6642917| RMSE:0.85171944
Iter:26| MAE:0.6636599| RMSE:0.8512922
Iter:27| MAE:0.6640373| RMSE:0.851236
Iter:28| MAE:0.6633814| RMSE:0.85099375
Iter:29| MAE:0.66307294| RMSE:0.85069203
Iter:30| MAE:0.6629979| RMSE:0.8504789
Iter:31| MAE:0.66297716| RMSE:0.850395
Iter:32| MAE:0.6626966| RMSE:0.85028243
Iter:33| MAE:0.6628272| RMSE:0.8500942
Iter:34| MAE:0.6627124| RMSE:0.84999245
Iter:35| MAE:0.6623588| RMSE:0.8498517
Iter:36| MAE:0.66237533| RMSE:0.8498111
Iter:37| MAE:0.6623119| RMSE:0.84973866
Iter:38| MAE:0.6621237| RMSE:0.84961903
Iter:39| MAE:0.66213644| RMSE:0.8495471
Iter:40| MAE:0.6620109| RMSE:0.8495744
Iter:41| MAE:0.66203314| RMSE:0.84952766
Iter:42| MAE:0.6619156| RMSE:0.8494868
Iter:43| MAE:0.66185415| RMSE:0.849396
Iter:44| MAE:0.66190094| RMSE:0.8493491
Iter:45| MAE:0.6619716| RMSE:0.8493305
Iter:46| MAE:0.6619145| RMSE:0.8492857
